ID,followers,posts,avatar,max_comments,min_comments,mean_comments,max_likes,min_likes,mean_likes
story154,3047,1702,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/15538168_1672802632746437_7945689738118168576_a.jpg,45,0,7.0,110,39,73.5
rachparcell,898135,3581,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/16110384_260415981055703_6160600320859701248_a.jpg,202,23,113.166666667,25661,2673,12074.0833333
georgieeisdell,17578,1451,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/11351774_1659136471033920_1182230275_a.jpg,32,3,10.75,376,67,191.666666667
manrepeller,1819209,7938,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/10598339_1462523197342576_1653216185_a.jpg,100,15,63.5,16745,2289,8362.83333333
allbaddays,19602,701,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17333148_600549840151045_8464402868420476928_a.jpg,13,0,5.08333333333,1024,214,501.833333333
hermes,4632331,1145,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/11249330_280804642114028_289742460_a.jpg,166,36,97.4166666667,29324,9499,14554.4166667
reissfashion,148134,2475,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/14262822_1337500082941955_3388203887683960832_a.jpg,16,2,7.0,1041,423,680.666666667
ascia_akf,2095445,3333,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/14488080_1694635930849888_1964832613185093632_a.jpg,173,54,89.5833333333,20815,6762,15734.6666667
yingchunyc,4426,893,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/16229028_1881734222056140_7693679628627476480_n.jpg,15,2,5.16666666667,151,66,100.0
g_annunziata,26645,1482,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/14309787_833865090082476_761462250920738816_a.jpg,13,1,6.25,1145,171,660.833333333
thelovemagazine,962848,3864,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17817987_270420790072630_6089550381983989760_a.jpg,347,25,83.75,26273,2021,8456.08333333
1767designs,26752,886,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/13703028_543105202563795_560547446_a.jpg,21,3,9.08333333333,1234,442,843.083333333
livvylandblog,192977,2041,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17437981_286013168486696_69057945928728576_a.jpg,61,6,37.0833333333,5074,1141,2942.58333333
fashiondads_,183147,260,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/924467_817762031617898_518278594_a.jpg,584,87,184.833333333,5849,1774,3279.5
peachestopearls,30615,738,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/14449347_715000868655769_3433792573234216960_a.jpg,60,9,27.6666666667,1309,301,617.833333333
yourlbb,35620,3598,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/14719360_108115489661463_1405704557886963712_a.jpg,29,11,17.3333333333,866,347,569.083333333
kittehinfurs,14286,1558,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17931847_812898932190603_4111290756138795008_a.jpg,52,2,12.75,740,172,332.5
nasa,22701299,1962,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/11375151_392132304319140_1291663475_a.jpg,3187,1004,1766.41666667,643236,267950,460874.916667
peoplesrevteam,10408,1281,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/11820617_821861567928410_557296694_a.jpg,5,0,2.66666666667,162,47,75.3333333333
olderbrotherus,11475,288,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/11032925_870309233029166_737852790_a.jpg,39,4,10.0,1277,224,433.25
whatemilysaid,1590,1163,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17438885_196797617477528_2317065823182651392_a.jpg,26,6,13.75,265,124,160.583333333
vanillaandlace,11039,1410,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/10748066_1515857775332219_1182961202_a.jpg,17,2,8.5,587,220,388.583333333
sanneb10,61155,1001,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/13437277_142818586125709_1982246942_a.jpg,67,9,23.5833333333,719,516,616.75
fashion.civilization,84028,428,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17077377_1404062132958124_529145189252464640_n.jpg,84,23,55.0,5781,305,2413.83333333
lemonstripes,124696,3498,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/16789930_1756901917960688_5521915134638817280_a.jpg,152,17,36.8333333333,4179,1223,2240.0
catmeffan,66185,2365,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17663553_625086867685757_4986558018222030848_a.jpg,40,8,18.8333333333,2166,699,1316.5
whowhatwear,2532625,3711,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/14714536_1654542668169045_6949484580755734528_a.jpg,150,42,96.1666666667,20767,3735,10842.4166667
goldcoastmag,2253,535,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17662449_304037113350512_3734220368743759872_a.jpg,8,1,3.66666666667,98,30,70.3333333333
hlgroup,2265,615,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/1962933_1554478671500616_1048115265_a.jpg,5,0,2.58333333333,120,64,89.4166666667
theyallhateus,187226,903,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/13827353_181872768897543_141358450_a.jpg,371,6,80.0833333333,7684,447,2248.83333333
lapassionvoutee,13551,808,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/13414167_1265876853437556_2082053064_a.jpg,52,1,22.5,483,30,293.25
stylesouffle,13312,949,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/13694459_552036521661255_571706759_a.jpg,59,4,28.0833333333,580,298,424.583333333
fitnessontoast,122968,1266,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/15624397_577724449091379_1774839220108525568_a.jpg,89,19,36.8333333333,2639,1236,1681.83333333
roomforgirl,428634,2811,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/11856650_1023271091121936_600303678_a.jpg,19,1,7.0,8001,2472,5483.66666667
andrewweitz,5544,980,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17439326_1492513014114353_4719178415507243008_a.jpg,142,4,23.0833333333,594,146,282.666666667
tiniegram,836861,2376,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/13423019_580333698794344_299269903_a.jpg,93,15,42.0833333333,13536,1578,4424.16666667
lucialiustylist,22097,1868,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/12965219_152550435144971_209310373_a.jpg,11,0,4.0,270,74,158.75
hap_fashion,69974,750,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/14063135_295686207478532_971685553_n.jpg,100,15,36.5833333333,6608,222,1818.91666667
stylesixties,1887,378,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/15403478_1840526286184431_4948402941808607232_a.jpg,21,1,6.83333333333,355,94,190.083333333
threadsstyling,173328,9452,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17931741_143067612895493_6621020192220643328_a.jpg,11,1,4.58333333333,1312,530,884.916666667
peaceloveshea,1116664,3990,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/15538290_1461492570535131_584582539755126784_a.jpg,162,46,102.833333333,18112,5729,13666.4166667
cosmopolitan,2038277,4973,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/14727684_209810572792048_591514896143745024_a.jpg,683,12,246.5,34995,3764,13603.5
whimsicalsoles,554,361,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/12407411_521943421318255_1378864016_a.jpg,30,0,7.5,171,74,103.166666667
prconsulting,26950,3757,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/917558_956566487751686_1633743302_a.jpg,9,1,3.83333333333,402,75,175.166666667
styledrive,155803,1907,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17439104_196156590886293_2755280820997455872_a.jpg,21,6,12.0833333333,3369,581,1833.33333333
elinkling,295804,997,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/14597245_805709966234400_5988194685716267008_a.jpg,119,24,69.6666666667,6699,1799,3990.5
darrenkennedyofficial,31430,3193,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17818530_1267941689988292_5477117723798405120_a.jpg,76,13,34.25,1075,223,674.25
nicolaformichetti,179866,4612,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/13722214_110030312776614_1416527620_a.jpg,56,9,22.6666666667,4276,753,1588.25
mrbagss,26047,1550,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/16908060_275686296195779_5580215759449096192_a.jpg,13,0,2.75,288,53,133.583333333
palmbeachlately,41730,2044,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/12144206_1491977747795073_381707737_a.jpg,25,4,15.5,970,369,770.083333333
thehunt,64629,2296,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/10818082_1605681209659853_1836811442_a.jpg,15,0,3.66666666667,548,139,240.25
fashiononvibes,68749,312,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/14716598_335435070183066_850766213121310720_a.jpg,114,62,86.0833333333,7837,883,3320.16666667
what_my_daughter_wore,33679,897,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/11910097_471736453004946_1460005785_a.jpg,11,2,6.66666666667,711,338,480.5
vibede.girl,76402,489,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/16465272_183267562158351_1652892239443001344_a.jpg,157,49,86.4166666667,12447,701,4069.5
trineswardrobe,92905,1980,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/11311465_1814479272111818_6111943_a.jpg,32,3,13.9166666667,3600,509,1904.5
taylorswift,101002120,975,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/12599210_1266879739993740_674087546_a.jpg,60716,8147,21743.8333333,1561427,788120,1164712.25
showstudio,75582,1177,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/12224067_535386593288982_1666538301_a.jpg,17,0,6.75,2401,200,693.916666667
harperandharley,535194,2871,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/15251777_368173230181852_8931762307420127232_a.jpg,199,13,76.1666666667,16512,1500,6614.33333333
ethicalfashion,34971,711,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/13696697_504300829780988_202013768_a.jpg,30,4,9.41666666667,1042,85,285.5
shubham.sharma23,725,131,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/16908307_952286964907813_513291039033786368_a.jpg,33,0,10.9166666667,246,56,150.5
iamcharley,101,4,https://scontent-lga3-1.cdninstagram.com/t51.2885-19/11906329_960233084022564_1448528159_a.jpg,5,0,1.5,114,11,49.5
dpatron,3348,540,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/14566614_360472924286896_6378547031840915456_a.jpg,8,0,4.0,157,48,89.4166666667
themiddlecloset,43624,964,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/12751434_590242044463493_1895143107_a.jpg,51,11,30.5833333333,800,168,575.25
