emilyschuman,390395,2521,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/11821246_514455362037047_579940802_a.jpg,122,19,53.5,9763,2053,4706.33333333
wendyslookbook,1073094,2805,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/12750152_1681203995482253_697752528_a.jpg,257,66,146.5,15391,4646,10012.5833333
zanitazanita,323680,4158,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/14564952_336188766749405_7174453408647086080_a.jpg,55,14,27.9166666667,3967,771,2120.0
weworewhat,1613987,9695,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/14714544_1146602278759591_7900251178854776832_a.jpg,197,46,92.3333333333,16481,2280,10055.3333333
tuulavintage,2528798,4978,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/16230057_103230576859290_3654277167505735680_a.jpg,595,180,354.333333333,77009,31369,52013.1666667
chrisellelim,813851,8785,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/15306512_367892380228157_3441302211882123264_a.jpg,8372,49,772.083333333,31059,4638,10620.1666667
oliviapalermo,4620056,627,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/12299035_530332173789374_711151648_a.jpg,875,70,323.0,120829,16890,52668.25
vivaluxuryblog,555752,2908,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/11350926_465864803591468_438523757_a.jpg,235,111,148.75,28447,9953,15352.5
hellofashionblog,825597,2601,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/13731320_1819991638254972_1782688728108498944_n.jpg,6665,68,748.583333333,25270,4640,15913.6666667
kattanita,354122,3346,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/16123658_242682236168046_5685584325265850368_a.jpg,99,35,61.4166666667,5517,2242,3556.0
damselindior,362621,5092,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/14583385_1818649331746771_3742277757455826944_a.jpg,2994,36,310.0,7694,2293,3936.91666667
